,camera_id,filename,image_object_ct,image_object_ct_c,image_object_ct_l,image_object_ct_lr,image_object_ct_r,image_std,timestamp
268,589,1447435243_cctv589.jpg,12,38,38,40,20,0.154805296387,1447435243
269,590,1447435243_cctv590.jpg,9,3,3,11,9,0.133850120754,1447435243
270,592,1447435243_cctv592.jpg,24,40,40,49,27,0.195423091898,1447435243
271,593,1447435243_cctv593.jpg,30,19,19,41,33,0.204515218322,1447435243
272,589,1447437045_cctv589.jpg,34,32,32,51,37,0.16927779508,1447437045
273,590,1447437045_cctv590.jpg,6,11,11,19,9,0.116401554812,1447437045
274,592,1447437045_cctv592.jpg,20,28,28,47,20,0.25889278176,1447437045
275,593,1447437045_cctv593.jpg,26,26,26,57,38,0.123331525016,1447437045
276,589,1447438845_cctv589.jpg,29,35,35,61,30,0.253072859281,1447438845
277,590,1447438845_cctv590.jpg,6,15,15,21,7,0.178311027673,1447438845
278,592,1447438845_cctv592.jpg,26,46,46,57,23,0.259840776572,1447438845
279,593,1447438845_cctv593.jpg,30,41,41,76,33,0.238613348501,1447438845
280,589,1447440646_cctv589.jpg,29,53,53,54,31,0.266511885854,1447440646
281,590,1447440646_cctv590.jpg,8,12,12,17,8,0.0642998931287,1447440646
282,592,1447440646_cctv592.jpg,14,28,28,33,14,0.233150235958,1447440646
283,593,1447440646_cctv593.jpg,1,37,37,60,19,0.228502765213,1447440646
284,589,1447442446_cctv589.jpg,32,49,49,70,36,0.153544571652,1447442446
285,590,1447442446_cctv590.jpg,3,9,9,18,10,0.0712163172771,1447442446
286,592,1447442446_cctv592.jpg,16,38,38,44,23,0.254943505879,1447442446
287,593,1447442446_cctv593.jpg,15,43,43,71,34,0.174807589487,1447442446
288,589,1447444257_cctv589.jpg,28,25,25,49,30,0.271306064416,1447444257
289,590,1447444257_cctv590.jpg,15,1,1,12,12,0.133155663808,1447444257
290,592,1447444257_cctv592.jpg,16,13,13,23,18,0.0910493463439,1447444257
291,593,1447444257_cctv593.jpg,24,36,36,78,40,0.204044508375,1447444257
292,589,1447446058_cctv589.jpg,31,22,22,48,29,0.259292871205,1447446058
293,590,1447446058_cctv590.jpg,20,14,14,32,19,0.0339947183164,1447446058
294,592,1447446058_cctv592.jpg,18,16,16,33,19,0.182406036361,1447446058
295,593,1447446058_cctv593.jpg,10,26,26,49,28,0.105755692921,1447446058
296,589,1447447858_cctv589.jpg,19,26,26,47,22,0.123532312658,1447447858
297,590,1447447858_cctv590.jpg,7,7,7,13,7,0.0322320168269,1447447858
298,592,1447447858_cctv592.jpg,22,16,16,24,18,0.0922791470554,1447447858
299,593,1447447858_cctv593.jpg,21,23,23,53,39,0.1786954285,1447447858
300,589,1447449659_cctv589.jpg,27,56,56,64,28,0.208456480151,1447449659
301,590,1447449659_cctv590.jpg,12,14,14,25,15,0.055014746784,1447449659
302,592,1447449659_cctv592.jpg,16,25,25,28,18,0.157078146196,1447449659
303,593,1447449659_cctv593.jpg,14,22,22,32,15,0.107234889171,1447449659
304,589,1447451459_cctv589.jpg,45,26,26,59,44,0.157595022522,1447451459
305,590,1447451459_cctv590.jpg,22,14,14,35,22,0.0643137501736,1447451459
306,592,1447451459_cctv592.jpg,20,18,18,35,20,0.13413375049,1447451459
307,594,1447451459_cctv594.jpg,21,14,14,32,21,0.135339237797,1447451459
308,589,1447453260_cctv589.jpg,38,43,43,63,40,0.196698167708,1447453260
309,590,1447453260_cctv590.jpg,12,8,8,15,13,0.140639615749,1447453260
310,592,1447453260_cctv592.jpg,19,21,21,38,20,0.171205175828,1447453260
311,594,1447453260_cctv594.jpg,16,13,13,25,15,0.202446972726,1447453260
312,589,1447455060_cctv589.jpg,56,35,35,66,56,0.222490067591,1447455060
313,590,1447455060_cctv590.jpg,7,6,6,19,16,0.0809744318323,1447455060
314,592,1447455060_cctv592.jpg,22,16,16,27,25,0.166395465499,1447455060
315,594,1447455060_cctv594.jpg,11,16,16,24,11,0.238366226061,1447455060
316,589,1447456861_cctv589.jpg,44,38,38,61,43,0.226979447554,1447456861
317,590,1447456861_cctv590.jpg,17,15,15,31,21,0.243864387755,1447456861
318,592,1447456861_cctv592.jpg,29,24,24,44,28,0.15637912492,1447456861
319,594,1447456861_cctv594.jpg,17,12,12,26,18,0.233578396653,1447456861
320,589,1447458664_cctv589.jpg,18,22,22,32,19,0.239770507184,1447458664
321,590,1447458664_cctv590.jpg,13,20,20,30,19,0.157411337595,1447458664
322,592,1447458664_cctv592.jpg,17,15,15,28,20,0.164882277745,1447458664
323,594,1447458664_cctv594.jpg,25,12,12,28,23,0.209046412215,1447458664
324,589,1447460465_cctv589.jpg,32,34,34,53,36,0.172895039007,1447460465
325,590,1447460465_cctv590.jpg,12,10,10,20,14,0.142845830094,1447460465
326,592,1447460465_cctv592.jpg,14,15,15,26,16,0.18315980352,1447460465
327,594,1447460465_cctv594.jpg,16,10,10,21,14,0.168163831821,1447460465
328,589,1447462268_cctv589.jpg,34,37,37,60,36,0.199190436464,1447462268
329,590,1447462268_cctv590.jpg,12,14,14,24,17,0.119399339887,1447462268
330,592,1447462268_cctv592.jpg,27,23,23,32,26,0.170369339752,1447462268
331,594,1447462268_cctv594.jpg,19,8,8,19,17,0.180146869488,1447462268
332,589,1447464068_cctv589.jpg,30,25,25,41,34,0.160682589047,1447464068
333,590,1447464068_cctv590.jpg,10,7,7,12,11,0.150780613133,1447464068
334,592,1447464068_cctv592.jpg,17,22,22,34,24,0.188308983178,1447464068
335,594,1447464068_cctv594.jpg,8,9,9,16,9,0.0884644768314,1447464068
336,589,1447465869_cctv589.jpg,32,49,49,57,38,0.209497804418,1447465869
337,590,1447465869_cctv590.jpg,4,12,12,24,14,0.0613709610534,1447465869
338,592,1447465869_cctv592.jpg,14,13,13,28,19,0.166098095424,1447465869
339,594,1447465869_cctv594.jpg,5,8,8,15,8,0.089261022012,1447465869
340,589,1447467669_cctv589.jpg,10,11,11,23,13,0.197910736524,1447467669
341,590,1447467669_cctv590.jpg,9,9,9,19,13,0.164468614653,1447467669
342,592,1447467669_cctv592.jpg,9,11,11,19,13,0.151693098563,1447467669
343,594,1447467669_cctv594.jpg,8,9,9,13,9,0.144442187081,1447467669
344,589,1447469473_cctv589.jpg,10,8,8,25,16,0.152441766726,1447469473
345,590,1447469473_cctv590.jpg,12,8,8,21,16,0.166468180862,1447469473
346,592,1447469473_cctv592.jpg,8,10,10,21,13,0.100398616334,1447469473
347,589,1447471273_cctv589.jpg,30,28,28,31,25,0.222236378027,1447471273
